stock name,Amazon,Apple,IBM,Yahoo,,AmAI,AmAY,AmIY,AIY,,,,,
2010_1,0.236283683,0.222760067,0.1284908,0.187122458,,0.19584485,0.215388736,0.183965647,0.179457775,,,,,
2010_2,0.305972113,0.282376413,0.178409761,0.289389347,,0.255586096,0.292579291,0.25792374,0.250058507,,,,,
2010_3,0.231891646,0.179122761,0.141613311,0.237545333,,0.184209239,0.21618658,0.20368343,0.186093802,avg,0.206492726,0.236469069,0.21664499,0.199204343
2010_4,0.248668943,0.162081814,0.118165675,0.233183601,,0.176305477,0.214644786,0.200006073,0.171143696,std,0.035075063,0.038669595,0.041407653,0.036650272
2011_1,0.246943485,0.189099128,0.149926411,0.253815629,,0.195323008,0.229952748,0.216895175,0.197613723,,,,,
2011_2,0.241135282,0.163194365,0.094624029,0.247266492,,0.166317892,0.217198713,0.194341934,0.168361629,,,,,
2011_3,0.358339866,0.256253496,0.248912728,0.428613044,,0.287835363,0.347735468,0.345288546,0.311259756,,,,,
2011_4,0.392763577,0.235168269,0.201518526,0.325087364,,0.276483458,0.31767307,0.306456489,0.25392472,,,,,
2012_1,0.265913864,0.179971713,0.106983726,0.171405947,,0.184289768,0.205763841,0.181434512,0.152787129,,,,,
2012_2,0.307369459,0.269811726,0.13821404,0.164910737,,0.238465075,0.247363974,0.203498079,0.190978834,,,,,
2012_3,0.207731217,0.167641327,0.130362678,0.157461384,,0.168578407,0.177611309,0.165185093,0.151821796,,,,,
2012_4,0.229149436,0.276850301,0.138472908,0.14884335,,0.214824215,0.218281029,0.172155231,0.18805552,,,,,
2013_1,0.23630633,0.312766633,0.117061281,0.191239688,,0.222044748,0.246770884,0.181535767,0.207022534,,,,,
2013_2,0.222147914,0.204867061,0.195943718,0.221400619,,0.207652898,0.216138532,0.213164084,0.2074038,,,,,
2013_3,0.156705359,0.228781273,0.107982003,0.264228573,,0.164489545,0.216571735,0.176305311,0.200330616,,,,,
2013_4,0.248050611,0.150854196,0.171823003,0.214371318,,0.190242603,0.204425375,0.211414978,0.179016173,,,,,
2014_1,0.279278841,0.193646535,0.141979666,0.281885511,,0.204968347,0.251603629,0.234381339,0.205837238,,,,,
2014_2,0.297330074,0.18177615,0.114435598,0.278668064,,0.197847274,0.252591429,0.230144579,0.191626604,,,,,
2014_3,0.259299122,0.145707986,0.087224302,0.248790698,,0.164077137,0.217932602,0.19843804,0.160574329,,,,,
2014_4,0.244736156,0.162831592,0.190220422,0.216088475,,0.199262723,0.207885407,0.217015018,0.189713496,,,,,
2015_1,0.278334143,0.222384904,0.172042639,0.216656875,,0.224253895,0.239125307,0.222344552,0.203694806,,,,,
2015_2,0.266207747,0.145591899,0.126780539,0.229248338,,0.179526728,0.213682661,0.207412208,0.167206925,,,,,
2015_3,0.295725903,0.279029062,0.202818684,0.252151361,,0.259191216,0.275635442,0.250231983,0.244666369,,,,,
2015_4,0.212469584,0.200459121,0.181687644,0.284616623,,0.19820545,0.232515109,0.22625795,0.222254463,,,,,